amfi_code,scheme_name,alpha,beta
100016,HDFC Top 100 Fund - Regular Plan - Growth,0.0,1.0
100025,HDFC Short Term Debt Fund - Regular - Growth,0.0424170831601003,0.01223194495697969
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.27211084333507407,-7.702921702151627e-06
101206,ABSL Frontline Equity Fund - Regular - Growth,0.2136551736461959,0.027784929838440473
101207,ABSL Small Cap Fund - Regular - Growth,0.10594637318816938,0.028465904309770362
101208,ABSL Liquid Fund - Regular - Growth,0.060911615152046975,-0.0011756616917515117
102885,UTI Nifty 50 Index Fund - Regular - Growth,0.1728328875093288,-0.08252893084384318
102886,UTI Mid Cap Fund - Regular - Growth,0.027934250403777824,-0.007312731236330623
102887,UTI Flexi Cap Fund - Regular - Growth,0.16352706484644905,-0.025255982950367004
118632,Nippon India Large Cap Fund - Regular - Growth,0.2189663120024731,-0.026044895802545407
118633,Nippon India Large Cap Fund - Direct - Growth,0.15457914461395586,0.020511685793898424
118634,Nippon India Small Cap Fund - Regular - Growth,0.175608002374468,0.0724031073205973
118635,Nippon India ETF Nifty 50 BeES,0.15172488829258296,-0.011362486219540845
118636,Nippon India Gilt Securities Fund - Regular - Growth,0.05035769189862939,0.012014200075889221
119092,Axis Bluechip Fund - Regular - Growth,0.06903196929145586,0.007362632706246183
119093,Axis Bluechip Fund - Direct - Growth,0.08181167424626998,0.03678791587618444
119094,Axis Midcap Fund - Regular - Growth,0.2619525315796205,-0.09036991034716636
119095,Axis Small Cap Fund - Regular - Growth,0.04831728608870167,-0.06617326414580975
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,0.0562307510840002,-0.006141238927642678
119551,SBI Bluechip Fund - Regular Plan - Growth,0.22965606716852338,0.038592227855614926
119552,SBI Bluechip Fund - Direct Plan - Growth,0.197414006140265,0.013091022967163789
119598,SBI Small Cap Fund - Regular Plan - Growth,0.30452411756151165,-0.05235407645642015
119599,SBI Small Cap Fund - Direct Plan - Growth,0.05073229223869179,-1.1964690710962783e-05
120503,ICICI Pru Bluechip Fund - Regular - Growth,0.1747105863250856,0.03036336153196146
120504,ICICI Pru Bluechip Fund - Direct - Growth,0.21322031459572383,-0.021652280182275448
120505,ICICI Pru Midcap Fund - Regular - Growth,0.29437470086435774,-0.048257564004649846
120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.16256649982302881,0.035341408267019064
120507,ICICI Pru Liquid Fund - Regular - Growth,0.0674027272913678,0.0012810891385622405
120841,Kotak Bluechip Fund - Regular - Growth,0.13242544028708422,-0.02459418954478612
120842,Kotak Emerging Equity Fund - Regular - Growth,0.08006820308041106,-0.04114692776608996
120843,Kotak Flexicap Fund - Regular - Growth,0.27170473124947175,0.02515221399448857
120844,Kotak Liquid Fund - Regular - Growth,0.06455212099395287,-0.00021511616917975948
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.17710360650699883,0.047530485438443584
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.12089383648342154,-0.020296592918995385
148567,Mirae Asset Large Cap Fund - Regular - Growth,0.27048736920711514,0.0022092426652036276
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.20774123978017286,0.004959589374063104
148569,Mirae Asset Tax Saver Fund - Regular - Growth,0.28129827385456513,0.05502172291505047
149322,DSP Top 100 Equity Fund - Regular - Growth,0.13036829462611643,0.03472212145167003
149323,DSP Midcap Fund - Regular - Growth,0.2663505378074944,-0.012397751825588853
149324,DSP Small Cap Fund - Regular - Growth,0.29918433081110407,0.04895602736442
