amfi_code,scheme_name,1yr_cagr,3yr_cagr,5yr_cagr,sharpe_ratio,sortino_ratio,sharpe_rank,beta,alpha,max_drawdown,drawdown_start_date,drawdown_trough_date,expense_ratio,rank_return,rank_sharpe,rank_alpha,rank_expense,rank_drawdown,composite_score,final_rank
100016,HDFC Top 100 Fund - Regular Plan - Growth,-0.022257773892688015,0.012923525892154508,0.026370743672111008,-0.2015170675596694,-0.35104746015230903,35.0,1.0,0.0,-0.24734440880673303,2022-03-30,2022-09-15,1.55,0.15,0.15,0.025,0.225,0.175,13.874999999999998,40.0
100025,HDFC Short Term Debt Fund - Regular - Growth,0.03707552701889649,0.03915479354684703,0.04458209619173137,-0.5670947928476847,-0.9418212366054207,39.0,0.01223194495697969,0.0424170831601003,-0.04308263824636349,2023-05-23,2023-07-28,0.56,0.175,0.05,0.075,0.975,0.925,31.875000000000004,33.0
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.5327719549540499,0.3243397122906222,0.3012315310072722,1.0936987435346308,1.8291339615146942,7.0,-7.702921702151627e-06,0.27211084333507407,-0.16217208574644848,2022-03-11,2022-05-12,1.38,0.925,0.85,0.9,0.6,0.525,81.25,4.0
101206,ABSL Frontline Equity Fund - Regular - Growth,0.4796379447633372,0.28960211096593724,0.2353836133468803,1.0272133278753697,1.7995628746984524,9.0,0.027784929838440473,0.2136551736461959,-0.11291596329323073,2023-04-24,2023-07-05,1.6,0.8,0.8,0.725,0.1125,0.8,68.1875,9.0
101207,ABSL Small Cap Fund - Regular - Growth,-0.24000309180292634,-0.04151453816140693,0.07938764837247714,0.1626607692864677,0.27664379626092334,28.0,0.028465904309770362,0.10594637318816938,-0.3544691649336603,2024-11-21,2026-05-11,1.53,0.05,0.325,0.35,0.3125,0.075,22.0625,37.0
101208,ABSL Liquid Fund - Regular - Growth,0.07241777200393584,0.06314299292105274,0.06509026855465327,-0.8155673679088278,-1.6810378667512837,40.0,-0.0011756616917515117,0.060911615152046975,-0.0016224980244717857,2023-09-05,2023-09-12,0.79,0.25,0.025,0.2,0.75,0.95,32.875,32.0
102885,UTI Nifty 50 Index Fund - Regular - Growth,0.20222858595384663,0.19662361245910964,0.18232378887705947,0.8170993373494368,1.4357420130649492,16.0,-0.08252893084384318,0.1728328875093288,-0.1085986215250232,2022-02-03,2022-03-29,1.57,0.575,0.625,0.55,0.175,0.85,54.99999999999999,18.0
102886,UTI Mid Cap Fund - Regular - Growth,-0.16807959958672036,-0.007672319440258146,0.011717454918341197,-0.20583160785470314,-0.34722230254727277,36.0,-0.007312731236330623,0.027934250403777824,-0.2800112356639287,2025-01-07,2026-04-27,1.51,0.1,0.125,0.05,0.4125,0.15,14.8125,39.0
102887,UTI Flexi Cap Fund - Regular - Growth,0.1359304393755194,0.25549670172502026,0.16841120247307528,0.6195175900829828,1.0887552508030014,22.0,-0.025255982950367004,0.16352706484644905,-0.21539827112383225,2022-01-03,2022-07-04,1.64,0.7,0.475,0.525,0.0375,0.275,46.6875,24.0
118632,Nippon India Large Cap Fund - Regular - Growth,0.340078958236512,0.22646647456747715,0.24049492662391758,1.0816591793457044,1.8501325468557264,8.0,-0.026044895802545407,0.2189663120024731,-0.17414075086657232,2024-01-02,2024-07-19,1.51,0.675,0.825,0.75,0.4125,0.45,66.56250000000001,13.0
118633,Nippon India Large Cap Fund - Direct - Growth,0.25559539940517384,0.21084691029380598,0.16274217354504272,0.6452074382933215,1.1544757169236237,21.0,0.020511685793898424,0.15457914461395586,-0.18629743138595511,2023-10-30,2024-02-29,0.72,0.65,0.5,0.475,0.8875,0.375,58.56249999999999,17.0
118634,Nippon India Small Cap Fund - Regular - Growth,0.158228664455887,0.080060298597036,0.16373474033415758,0.4484340089089914,0.7460146308533572,26.0,0.0724031073205973,0.175608002374468,-0.2334488614483311,2025-04-09,2026-02-20,1.53,0.35,0.375,0.6,0.3125,0.225,38.8125,29.0
118635,Nippon India ETF Nifty 50 BeES,0.22510248103762276,0.2000321571698329,0.15957231179671738,0.6648569985490619,1.137976718780742,19.0,-0.011362486219540845,0.15172488829258296,-0.1165062450540909,2022-01-03,2022-06-09,0.89,0.6,0.55,0.45,0.7,0.775,59.00000000000001,16.0
118636,Nippon India Gilt Securities Fund - Regular - Growth,0.1046246278808034,0.04061259859840338,0.05316889625171273,-0.356629507514368,-0.6135251287271027,38.0,0.012014200075889221,0.05035769189862939,-0.08316361763638702,2023-02-09,2024-02-09,0.55,0.2,0.075,0.125,1.0,0.875,34.12500000000001,30.0
119092,Axis Bluechip Fund - Regular - Growth,0.0161022963455828,0.005257668501786883,0.06367989237605243,0.030784850954585913,0.05257398559304797,31.0,0.007362632706246183,0.06903196929145586,-0.1440161790933726,2023-10-12,2025-02-07,1.64,0.125,0.25,0.275,0.0375,0.65,22.562500000000004,36.0
