scheme_name,VaR_95,CVaR_95
HDFC Top 100 Fund - Regular Plan - Growth,0.1,0.0
HDFC Short Term Debt Fund - Regular - Growth,0.01525045877729167,0.0122319449569796
HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.027204151703975468,-7.702921702151627e-06
ABSL Frontline Equity Fund - Regular - Growth,0.04637195421921596,0.0277849298384404
ABSL Small Cap Fund - Regular - Growth,0.0362139511976102,0.0284659043097703
ABSL Liquid Fund - Regular - Growth,0.00503306599262834,-0.0011756616917515
UTI Nifty 50 Index Fund - Regular - Growth,-0.05699274900852591,-0.0825289308438431
UTI Mid Cap Fund - Regular - Growth,-0.00378803307231976,-0.0073127312363306
UTI Flexi Cap Fund - Regular - Growth,-0.006377678170685401,-0.025255982950367
Nippon India Large Cap Fund - Regular - Growth,-0.0015437750220435482,-0.0260448958025454
Nippon India Large Cap Fund - Direct - Growth,0.033918431675904144,0.0205116857938984
Nippon India Small Cap Fund - Regular - Growth,0.08272359682598437,0.0724031073205973
Nippon India ETF Nifty 50 BeES,0.004946251231671573,-0.0113624862195408
Nippon India Gilt Securities Fund - Regular - Growth,0.01584854925816321,0.0120142000758892
Axis Bluechip Fund - Regular - Growth,0.01352956636476707,0.0073626327062461
Axis Bluechip Fund - Direct - Growth,0.04129029171319295,0.0367879158761844
Axis Midcap Fund - Regular - Growth,-0.05513766615448761,-0.0903699103471663
Axis Small Cap Fund - Regular - Growth,-0.054724209122358564,-0.0661732641458097
SBI Magnum Gilt Fund - Regular Plan - Growth,9.596007352168003e-05,-0.0061412389276426
SBI Bluechip Fund - Regular Plan - Growth,0.05769861178690574,0.0385922278556149
SBI Bluechip Fund - Direct Plan - Growth,0.03152332128447383,0.0130910229671637
SBI Small Cap Fund - Regular Plan - Growth,-0.016666257054626932,-0.0523540764564201
SBI Small Cap Fund - Direct Plan - Growth,0.005062461002229303,-1.1964690710962785e-05
ICICI Pru Bluechip Fund - Regular - Growth,0.04479808401127382,0.0303633615319614
ICICI Pru Bluechip Fund - Direct - Growth,0.001834979295524522,-0.0216522801822754
ICICI Pru Midcap Fund - Regular - Growth,-0.013994337517749048,-0.0482575640046498
ICICI Pru Value Discovery Fund - Regular - Growth,0.04806391742261998,0.035341408267019
ICICI Pru Liquid Fund - Regular - Growth,0.00789325295384276,0.0012810891385622
Kotak Bluechip Fund - Regular - Growth,-0.008892226561599072,-0.0245941895447861
Kotak Emerging Equity Fund - Regular - Growth,-0.029025414681439807,-0.0411469277660899
Kotak Flexicap Fund - Regular - Growth,0.04980746571998682,0.0251522139944885
Kotak Liquid Fund - Regular - Growth,0.00626160754713355,-0.0002151161691797
HDFC Top 100 Fund - Direct Plan - Growth,0.06048779754529903,0.0475304854384435
HDFC Mid-Cap Opportunities Fund - Direct - Growth,-0.006177549978753617,-0.0202965929189953
Mirae Asset Large Cap Fund - Regular - Growth,0.02903705531939475,0.0022092426652036
Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.025237754414674074,0.0049595893740631
Mirae Asset Tax Saver Fund - Regular - Growth,0.07764937800900187,0.0550217229150504
DSP Top 100 Equity Fund - Regular - Growth,0.04428673876911464,0.03472212145167
DSP Midcap Fund - Regular - Growth,0.015477077137719519,-0.0123977518255888
DSP Small Cap Fund - Regular - Growth,0.07397885770908841,0.04895602736442
